"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2020","8","1","Harvest / Sam Inglis.","Inglis, Sam","Young Neil 1945 Harvest","Continuum,","2003."
"Digital","OverDrive","EBOOK","2020","8","1","The Race Beat","Gene Roberts","History, Nonfiction, Politics, Sociology","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","8","5","I Can Cook Vegan","Isa Chandra Moskowitz","Cooking & Food, Nonfiction","ABRAMS","2019"
"Digital","OverDrive","EBOOK","2020","8","1","Follow the Stars Home","Luanne Rice","Fiction, Romance","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","8","1","Blood of Innocence","Tami Dane","Fantasy, Fiction, Romance","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2020","8","5","The Outside","Ada Hoffmann","Fiction, Science Fiction","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","8","1","The True Story of Hansel and Gretel","Louise Murphy","Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","8","2","One Hundred Shoes","Charles Ghigna","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","8","1","Tales of Terror (Unabridged)","Edgar Allan Poe","Fiction, Mystery","Blackstone Audio, Inc.","2006"
"Digital","OverDrive","EBOOK","2020","8","16","Blindness","José Saramago","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Red Planet","Robert Heinlein","Science Fiction, Young Adult Fiction","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2020","8","4","Tempted","Rebecca Zanetti","Fantasy, Fiction, Romance, Suspense","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2020","8","2","The Practical Heart: Four Novellas","Allan Gurganus","Fiction, Literature","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","8","5","That Good Night","Richard Probert","Fantasy, Fiction","Independent Publishers Group","2016"
"Digital","OverDrive","EBOOK","2020","8","1","Canada","Richard Ford","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Digital","OverDrive","EBOOK","2020","8","2","Rules","Cynthia Lord","Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)","2014"
"Digital","OverDrive","EBOOK","2020","8","1","Bittersweet","Nevada Barr","Fiction, Western","HarperCollins Publishers Inc.","2007"
"Digital","OverDrive","EBOOK","2020","8","1","In Close","Brenda Novak","Fiction, Mystery, Romance, Suspense","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Fair Chance","Josh Lanyon","Fiction, Romance, Suspense","Carina Press","2017"
"Digital","OverDrive","AUDIOBOOK","2020","8","3","Huckleberry Finn (Unabridged)","Mark Twain","Drama, Fiction","Random House Group Limited","2009"
"Digital","OverDrive","EBOOK","2020","8","1","At Home in Stone Creek","Linda Lael Miller","Fiction, Romance","Harlequin Enterprises, Ltd.","2009"
"Digital","OverDrive","EBOOK","2020","8","1","Stop Me","Brenda Novak","Fiction, Romance, Suspense, Suspense","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","8","5","Hunting Game","Helene Tursten","Fiction, Mystery","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","8","1","Threesome","Lawrence Block","Erotic Literature, Fiction","Open Road Integrated Media","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Umbrella Summer","Lisa Graff","Juvenile Fiction","HarperCollins Publishers Inc.","2009"
"Digital","OverDrive","EBOOK","2020","8","2","Tiger vs. Nightmare","Emily Tetri","Juvenile Fiction, Picture Book Fiction","Macmillan Publishers","2018"
"Digital","OverDrive","EBOOK","2020","8","2","Stay","Bobbie Pyron","Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2019"
"Digital","OverDrive","EBOOK","2020","8","3","The Silence: A Novel","Luca Veste","Fiction, Suspense, Thriller","Sourcebooks","2020"
"Digital","OverDrive","EBOOK","2020","8","3","Retribution: A Thriller","Steffen Jacobsen","Fiction, Mystery, Thriller","Simon & Schuster, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","8","1","The Wild Things","Dave Eggers","Fantasy, Fiction, Literature","Random House, Inc.","2010"
"Digital","OverDrive","EBOOK","2020","8","1","Blue Hour: Poems","Carolyn Forche","Fiction, Poetry","HarperCollins Publishers Inc.","2011"
"Digital","OverDrive","EBOOK","2020","8","14","The Terminal List: A Thriller","Jack Carr","Fiction, Suspense, Thriller","Simon & Schuster, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","8","1","Once He Loves","Sara Bennett","Fiction, Historical Fiction, Romance","INscribe Digital","2020"
"Digital","OverDrive","EBOOK","2020","8","1","Lines","Suzy Lee","Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Chronicle Books","2017"
"Digital","OverDrive","EBOOK","2020","8","2","Make Friends","Sarah Dillard","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","8","1","Fathers and Sons","Ivan Turgenev","Classic Literature, Fiction, Literature","Random House, Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2020","8","1","The EARTH Book (Unabridged)","Todd Parr","Juvenile Nonfiction, Nature","Hachette Audio","2015"
"Digital","OverDrive","EBOOK","2020","8","1","Leaping Hearts","J.R. Ward","Fiction, Romance","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","8","1","Nine Days","Toni Jordan","Fiction, Historical Fiction, Literature","The Text Publishing Company","2013"
"Digital","OverDrive","EBOOK","2020","8","2","The Other","David Guterson","Fiction, Literature","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Baby Sign Language","Karyn Warburton","Nonfiction","Penguin Group (USA), Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2020","8","1","Emerald Windows (Unabridged)","Terri Blackstock","Fiction, Literature","Zondervan","2013"
"Digital","OverDrive","EBOOK","2020","8","4","Phasma","Delilah S. Dawson","Fiction, Science Fiction, Thriller","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","8","5","Deep as Death","Katja Ivar","Fiction, Historical Fiction, Mystery","Lightning Source Inc","2020"
"Digital","OverDrive","EBOOK","2020","8","10","Celine: A Novel","Peter Heller","Fiction, Literature, Thriller","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","8","16","When We Left Cuba","Chanel Cleeton","Fiction, Literature","Penguin Group (USA), Inc.","2019"
"Digital","OverDrive","EBOOK","2020","9","1","The Millionaire Upstairs","M.J. O'Shea","Fiction, Literature, Romance","Dreamspinner Press","2016"
"Digital","OverDrive","EBOOK","2020","9","1","Mad, Mad Bear!","Kimberly Gee","Juvenile Fiction, Picture Book Fiction","Simon & Schuster, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","9","5","The Lies We Told","Camilla Way","Fiction, Suspense, Thriller","Penguin Group (USA), Inc.","2018"
"Digital","OverDrive","EBOOK","2020","9","2","Secrets of a Perfect Night","STEPHANIE LAURENS","Fiction, Romance","HarperCollins Publishers Inc.","2008"
"Digital","OverDrive","EBOOK","2020","9","1","Night Moves","Jessica Hopper","Biography & Autobiography, Nonfiction","University of Texas Press","2018"
"Digital","OverDrive","EBOOK","2020","10","1","Wild Horses","Dick Francis","Fiction, Mystery","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","10","1","What You Wish For","Kerry Reichs","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Physical","Horizon","BOOK","2020","1","2","The dolphin : two versions, 1972-1973 / Robert Lowell ; edited by Saskia Hamilton.","Lowell, Robert, 1917-1977,","Poetry","Farrar, Straus and Giroux,","2019."
"Digital","OverDrive","EBOOK","2020","1","12","Dreaming of You: Gamblers Series, Book 2","Lisa Kleypas","Fiction, Romance","HarperCollins Publishers Inc.","2005"
"Digital","OverDrive","AUDIOBOOK","2020","2","4","The Talisman (Unabridged)","Stephen King","Fiction, Horror","Simon & Schuster - Audiobooks","2014"
"Digital","OverDrive","EBOOK","2020","2","1","Native Speaker","Chang-Rae Lee","Fiction, Literature, Thriller","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","2","2","Battle Royale","Jerry Pallotta","Juvenile Nonfiction, Nature","Scholastic, Inc. (US)","2018"
"Digital","OverDrive","EBOOK","2020","2","2","The Thomas Sowell Reader","Thomas Sowell","Nonfiction, Politics","Hachette Digital, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","2","1","Vanishing Act: Jane Whitefield Series, Book 1","Thomas Perry","Fiction","Random House, Inc.","2012"
"Physical","Horizon","SOUNDDISC","2020","2","1","The very best of Son House.","House, Son","Blues Music","Shout! Factory,","[2003]"
"Digital","OverDrive","AUDIOBOOK","2020","2","1","Candide (Unabridged)","Voltaire","Classic Literature, Fiction","Blackstone Audio, Inc.","2010"
"Physical","Horizon","SOUNDDISC","2020","2","1","Jaco Pastorius.","Pastorius, Jaco","Jazz 1971 1980, Bass guitar music Jazz","Epic/Legacy,","[2000]"
"Physical","Horizon","SOUNDDISC","2020","2","1","Mind bomb / The The.","The The (Musical group)","Rock music 1981 1990","Epic/Legacy,","©2002"
"Digital","OverDrive","EBOOK","2020","3","3","Robo-Pete","James Dean","Juvenile Fiction, Picture Book Fiction","HarperCollins Publishers Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2020","3","1","A Flag for Sunrise (Unabridged)","Robert Stone","Fiction, Literature","Blackstone Audio, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","3","3","Mastering Color Knitting","Melissa Leapman","Art, Crafts, Nonfiction","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","3","1","Subverting Justice","Don Easton","Fiction, Mystery, Thriller","Dundurn Press","2017"
"Physical","Horizon","BOOK","2020","3","1","Mexico : stories / Josh Barkan.","Barkan, Joshua, 1969-","Short stories","Hogarth,","2016."
"Physical","Horizon","BOOK","2020","3","2","Wolves / Kate Riggs.","Riggs, Kate","Wolves Juvenile literature","Creative Education,","[2014]"
"Digital","OverDrive","EBOOK","2020","4","2","Nighttime Symphony","Timbaland","Juvenile Fiction, Picture Book Fiction","Simon & Schuster, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","4","2","Cold Kill","Rennie Airth","Fiction, Mystery, Thriller","Severn House Publishers Ltd","2020"
"Digital","OverDrive","AUDIOBOOK","2020","4","1","The Choice (Unabridged)","Nicholas Sparks","Fiction, Literature","Books on Tape","2007"
"Digital","OverDrive","EBOOK","2020","4","3","The Master Key System","Charles F. Haanel","New Age, Nonfiction, Self-Improvement","Duke Classics","2020"
"Digital","OverDrive","EBOOK","2020","4","12","The Doughnut King","Jessie Janowitz","Juvenile Fiction, Juvenile Literature","Sourcebooks","2019"
"Digital","OverDrive","EBOOK","2020","4","10","The Litigators","John Grisham","Fiction, Suspense, Thriller","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","4","4","White Girls","Hilton Als","Literary Criticism, Nonfiction","Lightning Source Inc","2014"
"Digital","OverDrive","EBOOK","2020","4","1","Half and Half","Lensey Namioka","Young Adult Fiction, Young Adult Literature","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","4","5","Nemesis","Philip Roth","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2011"
"Digital","OverDrive","AUDIOBOOK","2020","4","3","The Odessa File (Unabridged)","Frederick Forsyth","Fiction, Mystery","Blackstone Audio, Inc.","2010"
"Digital","OverDrive","EBOOK","2020","4","3","Desert Places: A Novel of Terror","Blake Crouch","Fiction, Suspense, Thriller","Blake Crouch","2012"
"Digital","OverDrive","EBOOK","2020","4","2","For Real: A Spires Story","Alexis Hall","Erotic Literature, Fiction, Romance","Riptide Publishing","2015"
"Digital","OverDrive","EBOOK","2020","4","2","Talk Cowboy to Me","Carolyn Brown","Fiction, Romance, Western","Sourcebooks","2017"
"Digital","OverDrive","EBOOK","2020","4","1","Angel of Darkness","Cynthia Eden","Fantasy, Fiction, Romance, Suspense","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2020","4","1","Flesh & Blood","Ethan Stone","Fiction, Literature, Romance, Suspense","Dreamspinner Press","2013"
"Digital","OverDrive","EBOOK","2020","4","3","Fated: Alex Verus Series, Book 1","Benedict Jacka","Fantasy, Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","1","Liberty","Kirby Larson","Historical Fiction, Juvenile Fiction","Scholastic, Inc. (US)","2016"
"Digital","OverDrive","EBOOK","2020","4","2","Christian the Lion","Anthony Bourke","Juvenile Nonfiction, Nature","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2020","4","1","In this Rain: A Novel","S.J. Rozan","Fiction, Mystery, Suspense, Thriller","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2020","4","3","Dreams of Falling","Karen White","Fiction, Literature, Mystery","Penguin Group (USA), Inc.","2018"
"Digital","OverDrive","EBOOK","2020","4","1","Coffeehouse Angel","Suzanne Selfors","Fantasy, Romance, Young Adult Fiction","Bloomsbury USA","2010"
"Digital","OverDrive","EBOOK","2020","4","1","Betting on the Muse","Charles Bukowski","Fiction, Poetry","HarperCollins Publishers Inc.","2007"
"Digital","OverDrive","AUDIOBOOK","2020","4","1","Clandestine (Unabridged)","James Ellroy","Fiction, Mystery, Thriller","HighBridge Company","2018"
"Digital","OverDrive","EBOOK","2020","4","1","Does She Love You?","Rachel Spangler","Fiction, Romance","Bold Strokes Books, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","2","Armageddon in Retrospect","Kurt Vonnegut","Essays, Nonfiction","Penguin Group (USA), Inc.","2008"
"Digital","OverDrive","EBOOK","2020","4","1","Camp","Michael D. Eisner","Biography & Autobiography, Nonfiction","Hachette Digital, Inc.","2005"
"Digital","OverDrive","EBOOK","2020","4","1","The Alaskan Laundry: A Novel","Brendan Jones","Fiction, Literature","Open Road Integrated Media","2016"
"Digital","OverDrive","AUDIOBOOK","2020","4","1","Brain Power (Unabridged)","Kelly Howell","Nonfiction, Self-Improvement","Books on Tape","2008"
"Digital","OverDrive","EBOOK","2020","4","4","The Fishermen: A Novel","Chigozie Obioma","Fiction, Literature","Hachette Digital, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","4","2","Drake Makes a Splash!","Ray O'Ryan","Juvenile Fiction, Science Fiction","Simon & Schuster, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","4","1","Dying for a Taste","Leslie Karst","Fiction, Mystery","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","4","1","Lyon: The Lords of Satyr","Elizabeth Amber","Fiction, Romance","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","4","1","A Respectable Trade","Philippa Gregory","Fiction, Historical Fiction","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","4","14","The Bat: Harry Hole Series, Book 1","Jo Nesbo","Fiction, Mystery, Thriller","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","6","Backstage Pass: Sinners on Tour Series, Book 1","Olivia Cunning","Fiction, Romance","Sourcebooks","2013"
"Digital","OverDrive","EBOOK","2020","4","1","Lying in Bed","M. J. Rose","Erotic Literature, Fiction","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","4","1","Seven Ages of Paris","Alistair Horne","History, Military, Nonfiction","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","3","Butterfly Winter: A Novel","W.P. Kinsella","Fiction, Literature","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","23","Eileen: A Novel","Ottessa Moshfegh","Fiction, Literature, Thriller","Penguin Group (USA), Inc.","2015"
"Digital","OverDrive","EBOOK","2020","4","2","Saving Jake: Blessings, Georgia Series, Book 3","Sharon Sala","Fiction, Romance","Sourcebooks","2016"
"Digital","OverDrive","EBOOK","2020","4","1","Fade to Midnight","Shannon McKenna","Fiction, Mystery, Romance, Suspense","Lightning Source Inc","2011"
"Digital","OverDrive","EBOOK","2020","4","1","好父母教出好成绩","柯云路","Education, Nonfiction","Cloudary Corporation","2013"
"Digital","OverDrive","EBOOK","2020","4","1","Coming Home: A Story of Undying Hope","Karen Kingsbury","Christian Fiction, Fiction","Zondervan","2012"
"Digital","OverDrive","EBOOK","2020","4","2","Outlaws","George V. Higgins","Fiction, Literature, Mystery, Thriller","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","4","1","Always","Nicola Griffith","Fiction, Literature","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","3","So Much for That: A Novel","Lionel Shriver","Fiction, Literature","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","EBOOK","2020","4","1","Stuck In Shangri-La","Kasey Michaels","Fiction","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","4","1","The Longest Journey","E. M. Forster","Classic Literature, Fiction","Duke Classics","2012"
"Digital","OverDrive","EBOOK","2020","4","9","The Biology of Belief","Bruce Lipton","Nonfiction, Self-Improvement","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","4","2","Dogs of War","Frederick Forsyth","Fiction, Thriller","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","2","Holidays Are Hell","Kim Harrison","Fiction, Literary Anthologies","HarperCollins Publishers Inc.","2009"
"Digital","OverDrive","EBOOK","2020","4","1","The Babysitters","Dori Chaconas","Beginning Reader, Juvenile Fiction","Penguin Group (USA), Inc.","2015"
"Digital","OverDrive","AUDIOBOOK","2020","4","1","The Family (Abridged)","Mario Puzo","Drama, Fiction","HarperCollins Publishers Inc.","2005"
"Digital","OverDrive","EBOOK","2020","4","3","Nutshell: A Novel","Ian McEwan","Fiction, Literature","Random House, Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2020","4","11","Invisible Man (Unabridged)","Ralph Ellison","Fiction, Literature","Books on Tape","2011"
"Digital","OverDrive","EBOOK","2020","4","2","Mermaid Dreams","Kate Pugsley","Juvenile Fiction, Picture Book Fiction","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","4","1","The High Road","Terry Fallis","Fiction, Literature","Random House, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","4","4","Princess Academy","Shannon Hale","Fantasy, Juvenile Fiction, Juvenile Literature","Bloomsbury USA","2010"
"Digital","OverDrive","EBOOK","2020","4","1","Can You See Me?","Libby Scott","Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)","2020"
"Digital","OverDrive","EBOOK","2020","4","2","Take Me Apart: A Novel","Sara Sligar","Fiction, Literature, Thriller","Macmillan Publishers","2020"
"Digital","OverDrive","AUDIOBOOK","2020","4","1","Cat Out of Hell (Unabridged)","Lynne Truss","Fiction, Humor (Fiction)","W. F. Howe's Ltd.","2018"
"Digital","OverDrive","EBOOK","2020","4","1","A Hero of Our Time","Mikhail Lermontov","Classic Literature, Fiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2020","4","1","Angel","Carola Dunn","Fiction, Historical Fiction, Romance","Belgrave House","2010"
"Digital","OverDrive","EBOOK","2020","4","2","Zen Attitude","Sujata Massey","Fiction, Literature, Mystery","HarperCollins Publishers Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","1","The Dream Manager","Matthew Kelly","Business, Nonfiction","Hachette Digital, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","4","1","Funeral in Berlin","Len Deighton","Fiction, Literature","Sterling Publishing Co., Inc.","2013"
"Digital","OverDrive","EBOOK","2020","4","4","The Other Name: Septology I-II","Jon Fosse","Fiction, Literature","Lightning Source Inc","2020"
"Digital","OverDrive","EBOOK","2020","4","2","Death of a Gigolo","Laura Levine","Fiction, Mystery","Lightning Source Inc","2019"
"Digital","OverDrive","EBOOK","2020","4","1","It's a Crime: A Novel","Jacqueline Carey","Fiction, Literature, Thriller","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","4","1","The Friendship Doll","Kirby Larson","Historical Fiction, Juvenile Fiction","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","4","1","The Red Room","Nicci French","Fiction, Mystery, Thriller","Hachette Digital, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","6","Slider","Pete Hautman","Humor (Fiction), Juvenile Fiction, Juvenile Literature","Candlewick Press","2017"
"Digital","OverDrive","EBOOK","2020","5","6","Who Done It?","Olivier Tallec","Juvenile Fiction, Picture Book Fiction","Chronicle Books","2015"
"Digital","OverDrive","EBOOK","2020","5","1","Abigail's Diary","Stacia Deutsch","Juvenile Fiction, Juvenile Literature","Hachette Digital, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","5","40","The Grammarians: A Novel","Cathleen Schine","Fiction, Literature","Macmillan Publishers","2019"
"Digital","OverDrive","EBOOK","2020","5","2","Too Many Dinosaurs","Mercer Mayer","Beginning Reader, Juvenile Fiction","Holiday House","2013"
"Digital","OverDrive","EBOOK","2020","5","1","Not-So-Weird Emma","Sally Warner","Humor (Fiction), Juvenile Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","2","Bad Behavior: Stories","Mary Gaitskill","Fiction, Literature","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Veronica (Unabridged)","Mary Gaitskill","Fiction, Literature","Books on Tape","2008"
"Digital","OverDrive","EBOOK","2020","5","6","Riddley Walker","Russell Hoban","Fiction, Literature","Indiana University Press","2013"
"Digital","OverDrive","EBOOK","2020","5","1","The Last Summer (of You and Me)","Ann Brashares","Fiction, Literature","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","4","Re-Coil","J.T. Nicholas","Fiction, Science Fiction","Random House, Inc.","2020"
"Digital","OverDrive","EBOOK","2020","5","4","Killing Trail","Margaret Mizushima","Fiction, Mystery","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","14","The Horse Dancer: A Novel","Jojo Moyes","Fiction, Literature, Romance","Penguin Group (USA), Inc.","2017"
"Digital","OverDrive","EBOOK","2020","5","2","Travels of Marco Polo","Marco Polo","Classic Literature, Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","2","Dead Aim","Iris Johansen","Fiction, Mystery, Suspense, Thriller","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","5","1","Signal: Sam Dryden Series, Book 2","Patrick Lee","Fiction, Thriller","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2020","5","1","The History of England","Thomas Macaulay","History, Nonfiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","7","The Shell Seekers","Rosamunde Pilcher","Fiction, Historical Fiction","Macmillan Publishers","2014"
"Digital","OverDrive","EBOOK","2020","5","3","Clutter Corpse","Simon Brett","Fiction, Mystery","Severn House Publishers Ltd","2020"
"Digital","OverDrive","EBOOK","2020","5","2","Borrowed Time","David Mark","Fiction, Mystery","Severn House Publishers Ltd","2020"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Never Cry Wolf (Unabridged)","Farley Mowat","Nature, Nonfiction","Naxos of America, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","1","Chameleon","Charles R. Smith Jr.","Young Adult Fiction, Young Adult Literature","Candlewick Press","2012"
"Digital","OverDrive","EBOOK","2020","5","2","The Buffalo Soldier","Chris Bohjalian","Fiction, Literature","Random House, Inc.","2010"
"Digital","OverDrive","EBOOK","2020","5","3","Gabriel: A Poem","Edward Hirsch","Fiction, Poetry, Romance","Random House, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","3","Hush: A Novel","Kate White","Fiction, Thriller","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","EBOOK","2020","5","3","The Cellist of Sarajevo","Steven Galloway","Fiction, Literature","Penguin Group (USA), Inc.","2009"
"Digital","OverDrive","EBOOK","2020","5","3","Open Season","Linda Howard","Fiction, Romance, Suspense, Thriller","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","3","The Custom of the Country","Edith Wharton","Classic Literature, Fiction","Duke Classics","2020"
"Digital","OverDrive","EBOOK","2020","5","3","The Fangs of Freelance","Drew Hayes","Fantasy, Fiction, Literature","Smashwords, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","5","1","A Haunted Halloween","Ray O'Ryan","Juvenile Fiction, Science Fiction","Simon & Schuster, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","5","1","Twins: A Novel","Marcy Dermansky","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","1","Desert Run: Lena Jones Series Series, Book 4","Betty Webb","Fiction, Mystery","Sourcebooks","2012"
"Digital","OverDrive","EBOOK","2020","5","1","Light a Penny Candle","Maeve Binchy","Fiction, Romance","Penguin Group (USA), Inc.","2008"
"Digital","OverDrive","EBOOK","2020","5","5","Trinity Sight: A Novel","Jennifer Givhan","Fantasy, Fiction","Blackstone Audio, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","5","1","Skellig: Skellig Series, Book 1","David Almond","Juvenile Fiction, Mystery","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","3","Next","Michael Crichton","Fiction, Thriller","HarperCollins Publishers Inc.","2007"
"Digital","OverDrive","EBOOK","2020","5","1","Deck the Halls","Mary Higgins Clark","Fiction, Suspense","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","The New York Stories (Unabridged)","John O'Hara","Fiction, Literature","Books on Tape","2014"
"Digital","OverDrive","EBOOK","2020","5","4","Wild Wild West","Charlene Teglia","Fiction, Romance","Macmillan Publishers","2013"
"Digital","OverDrive","EBOOK","2020","5","3","The Gallant Pig","Dick King-Smith","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","1","Great Sea Stories","Joseph Lewis French","Fiction, Short Stories","Duke Classics","2020"
"Digital","OverDrive","EBOOK","2020","5","3","The Atlas of Love: A Novel","Laurie Frankel","Fiction, Literature","Macmillan Publishers","2013"
"Digital","OverDrive","EBOOK","2020","5","1","Before Sunrise","Diana Palmer","Fiction, Romance","Harlequin Enterprises, Ltd.","2008"
"Digital","OverDrive","EBOOK","2020","5","50","The Scent Keeper: A Novel","Erica Bauermeister","Fiction, Literature","Macmillan Publishers","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","The Reader (Unabridged)","Bernhard Schlink","Fiction, Literature","Books on Tape","2009"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Ayurveda (Unabridged)","Vasant Lad","Health & Fitness, Nonfiction","Sounds True, Inc","2018"
"Digital","OverDrive","EBOOK","2020","5","16","The Last Man","Mary Shelley","Classic Literature, Fiction, Science Fiction","Duke Classics","2020"
"Digital","OverDrive","EBOOK","2020","5","3","Belladonna: Ephemera Series, Book 2","Anne Bishop","Fantasy, Fiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","1","Drawing in Pen & Ink","Claudia Nice","Art, Nonfiction","Penguin Group (USA), Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","5","The Green Glass Sea","Ellen Klages","Juvenile Fiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","2","Torn: Whiskey Sharp Series, Book 3","Lauren Dane","Fiction, Romance","Harlequin Enterprises, Ltd.","2018"
"Digital","OverDrive","EBOOK","2020","5","1","The Last Illusion: A Novel","Porochista Khakpour","Fiction, Literature","Bloomsbury USA","2014"
