"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2020","1","1","The Harlem Hellfighters : when pride met courage / Walter Dean Myers and William Miles.","Myers, Walter Dean, 1937-2014","United States Army Infantry Regiment 369th Juvenile literature, United States Army African American troops Juvenile literature, United States Army Juvenile literature, World War 1914 1918 Participation African American Juvenile literature, African Americans Social conditions To 1964 Juvenile literature, World War 1914 1918 Juvenile literature, African Americans Juvenile literature","Amistad/HarperCollins,","2006."
"Physical","Horizon","BOOK","2020","1","1","Challenger. 5 / Corea Murphy.","Murphy, Corea","Readers for new literates, Reading Adult education, English language Study and teaching, Reading Remedial teaching","New Readers Press : ProLiteracy,","[2010]"
"Digital","OverDrive","AUDIOBOOK","2020","1","1","The Deep Dark Descending (Unabridged)","Allen Eskens","Fiction, Literature, Mystery","Tantor Media, Inc","2017"
"Physical","Horizon","BOOK","2020","1","4","1177 B.C. : the year civilization collapsed / Eric H. Cline.","Cline, Eric H.","Bronze age Mediterranean Region, Sea Peoples, Mediterranean Region Civilization, Mediterranean Region History To 476","Princeton University Press,","[2014]"
"Digital","OverDrive","EBOOK","2020","1","2","A Stone Sat Still","Brendan Wenzel","Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Chronicle Books","2019"
"Physical","Horizon","BOOK","2020","1","1","Objects of desire : the modern still life / Margit Rowell.","Rowell, Margit","Still life in art, Still life in art 20th century","Museum of Modern Art : Distributed by Abrams,","[1997]"
"Physical","Horizon","BOOK","2020","1","4","Oliver and his alligator / Paul Schmid.","Schmid, Paul","First day of school Juvenile fiction, Schools Fiction, Fear Juvenile fiction, Alligators Juvenile fiction","Disney Hyperion,","2013."
"Digital","OverDrive","AUDIOBOOK","2020","1","1","The Games: Private Series, Book 11 (unabridged) (Unabridged)","James Patterson","Fiction, Thriller","Blackstone Audio, Inc.","2016"
"Physical","Horizon","SOUNDDISC","2020","1","3","All about that Basie / the Count Basie Orchestra ; directed by Scotty Barnhart.","Count Basie Orchestra","Jazz 2011 2020, Jazz vocals, Big band music, Jazz","Concord Jazz,","[2018]"
"Physical","Horizon","VIDEODISC","2020","1","1","Aftermass : bicycling in a post-Critical Mass Portland / directed by Joe Biel ; produced by Joe Biel, Phil Sano.",,"Critical Mass Event, Cyclists Oregon Portland, Cycling Oregon Portland, Bicycle commuting Oregon Portland, Direct action Oregon Portland, Portland Or, Documentary films, Nonfiction films","Microcosm Publishing,","c2013."
"Digital","OverDrive","AUDIOBOOK","2020","1","5","The Woman in White (Unabridged)","Wilkie Collins","Classic Literature, Fiction","Blackstone Audio, Inc.","2011"
"Physical","Horizon","BOOK","2020","1","1","Mysteries of the dark moon : the healing power of the dark goddess / Demetra George.","George, Demetra, 1946-","New moon Mythology, Goddesses, New moon Religious aspects, Goddess religion","HarperSanFrancisco,","[1992]"
"Physical","Horizon","BOOK","2020","1","3","Sophie Scott goes south / Alison Lester.","Lester, Alison","Antarctica Juvenile fiction","Houghton Mifflin Books for Children,","[2013]."
"Digital","OverDrive","AUDIOBOOK","2020","1","1","Sweetness: The Enigmatic Life of Walter Payton (unabridged) (Unabridged)","Jeff Pearlman","African American Nonfiction, Biography & Autobiography, Nonfiction, Sports & Recreations","Blackstone Audio, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","1","4","Unnatural Causes: Inspector Adam Dalgliesh Series, Book 3 (unabridged) (Unabridged)","P. D. James","Fiction, Mystery","Books on Tape","2009"
"Digital","OverDrive","AUDIOBOOK","2020","1","4","Zak George's Guide to a Well-Behaved Dog: Proven Solutions to the Most Common Training Problems for All Ages, Breeds, and Mixes (unabridged) (Unabridged)","Zak George","Nonfiction, Pets","Books on Tape","2019"
"Physical","Horizon","BOOK","2020","1","2","Silver Surfer. Vol. 3, Last days / storytellers, Dan Slott & Michael Allred ; color artist, Laura Allred ; Letterer, VC's Joe Sabino.","Slott, Dan","Silver Surfer Fictitious character Comic books strips etc, Superhero comics, Comics Graphic works, Graphic novels, Young adult fiction","Marvel Worldwide, Inc.,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2020","1","2","Relic (Unabridged)","Alan Dean Foster","Fiction, Science Fiction","Books on Tape","2018"
